Coefficient,Term,Coefficient type
-74.2127656494026,I,<class 'numpy.float64'>
-0.4163163876247551,Z11,<class 'numpy.float64'>
-0.4163163759495358,Z10,<class 'numpy.float64'>
0.1610195719223876,Z10 Z11,<class 'numpy.float64'>
-0.2656927322414206,Z9,<class 'numpy.float64'>
0.1075320882159356,Z9 Z11,<class 'numpy.float64'>
0.1126285825715109,Z9 Z10,<class 'numpy.float64'>
-0.0050964923703566,X8 X9 Y10 Y11,<class 'numpy.float64'>
0.0050964923703566,X8 Y9 Y10 X11,<class 'numpy.float64'>
0.0050964923703566,Y8 X9 X10 Y11,<class 'numpy.float64'>
-0.0050964923703566,Y8 Y9 X10 X11,<class 'numpy.float64'>
-0.2656927384136349,Z8,<class 'numpy.float64'>
0.112628583002737,Z8 Z11,<class 'numpy.float64'>
0.1075320926175987,Z8 Z10,<class 'numpy.float64'>
0.1006212728253218,Z8 Z9,<class 'numpy.float64'>
-0.1136660053071257,Z7,<class 'numpy.float64'>
0.1242087658429432,Z7 Z11,<class 'numpy.float64'>
0.132952708559645,Z7 Z10,<class 'numpy.float64'>
0.0982169069002843,Z7 Z9,<class 'numpy.float64'>
0.1003110975791076,Z7 Z8,<class 'numpy.float64'>
-0.0087439405761702,X6 X7 Y10 Y11,<class 'numpy.float64'>
-0.0020941884477262,X6 X7 Y8 Y9,<class 'numpy.float64'>
0.0087439405761702,X6 Y7 Y10 X11,<class 'numpy.float64'>
0.0020941884477262,X6 Y7 Y8 X9,<class 'numpy.float64'>
0.0087439405761702,Y6 X7 X10 Y11,<class 'numpy.float64'>
0.0020941884477262,Y6 X7 X8 Y9,<class 'numpy.float64'>
-0.0087439405761702,Y6 Y7 X10 X11,<class 'numpy.float64'>
-0.0020941884477262,Y6 Y7 X8 X9,<class 'numpy.float64'>
-0.1136659993073459,Z6,<class 'numpy.float64'>
0.1329527048569821,Z6 Z11,<class 'numpy.float64'>
0.1242087664213424,Z6 Z10,<class 'numpy.float64'>
0.1003110952430496,Z6 Z9,<class 'numpy.float64'>
0.0982169090264203,Z6 Z8,<class 'numpy.float64'>
0.1308953758839896,Z6 Z7,<class 'numpy.float64'>
0.0374809044575679,Z5,<class 'numpy.float64'>
0.1254883115138415,Z5 Z11,<class 'numpy.float64'>
0.1322333074642035,Z5 Z10,<class 'numpy.float64'>
0.0969220130537598,Z5 Z9,<class 'numpy.float64'>
0.0995218832700915,Z5 Z8,<class 'numpy.float64'>
0.0842220163619075,Z5 Z7,<class 'numpy.float64'>
0.1272311119696764,Z5 Z6,<class 'numpy.float64'>
